Date,Open,High,Low,Adj_Close,Vol.
2021-09-10,"7,369.50","7,430.00","7,369.50","7,406.60",599.12M
2021-09-09,"7,512.00","7,512.00","7,344.30","7,369.50",740.25M
2021-09-08,"7,530.30","7,530.30","7,476.30","7,512.00",688.88M
2021-09-07,"7,528.50","7,536.90","7,487.80","7,530.30",591.48M
2021-09-06,"7,522.90","7,528.50","7,440.10","7,528.50",807.64M
2021-09-03,"7,485.70","7,539.00","7,485.70","7,522.90",586.72M
2021-09-02,"7,527.10","7,527.10","7,437.20","7,485.70",631.41M
2021-09-01,"7,534.90","7,534.90","7,462.20","7,527.10",618.48M
2021-08-31,"7,504.50","7,555.90","7,504.50","7,534.90",806.31M
2021-08-30,"7,488.30","7,528.30","7,476.00","7,504.50",648.07M
2021-08-27,"7,491.20","7,494.50","7,465.00","7,488.30",756.50M
2021-08-26,"7,531.90","7,531.90","7,477.80","7,491.20",771.81M
2021-08-25,"7,503.00","7,542.40","7,503.00","7,531.90",710.52M
2021-08-24,"7,489.90","7,524.40","7,489.90","7,503.00",685.47M
2021-08-23,"7,460.90","7,496.30","7,460.90","7,489.90",622.95M
2021-08-20,"7,464.60","7,512.00","7,453.60","7,460.90",712.73M
2021-08-19,"7,502.10","7,502.10","7,429.20","7,464.60",747.63M
2021-08-18,"7,511.00","7,532.90","7,470.50","7,502.10",653.54M
2021-08-17,"7,582.50","7,582.50","7,494.40","7,511.00",559.15M
2021-08-16,"7,628.90","7,629.00","7,582.50","7,582.50",647.00M
2021-08-13,"7,588.20","7,632.80","7,585.90","7,628.90",605.05M
2021-08-12,"7,584.30","7,608.60","7,571.50","7,588.20",627.84M
2021-08-11,"7,562.60","7,615.10","7,562.60","7,584.30",643.15M
2021-08-10,"7,538.40","7,576.30","7,537.10","7,562.60",525.15M
2021-08-09,"7,538.40","7,567.00","7,532.80","7,538.40",526.82M
2021-08-06,"7,511.10","7,538.40","7,497.30","7,538.40",539.38M
2021-08-05,"7,503.20","7,526.40","7,493.00","7,511.10",510.28M
2021-08-04,"7,474.50","7,509.20","7,474.50","7,503.20",499.67M
2021-08-03,"7,491.40","7,495.90","7,455.50","7,474.50",623.33M
2021-08-02,"7,415.90","7,506.30","7,414.90","7,491.40",576.29M
2021-07-30,"7,417.40","7,437.70","7,387.90","7,392.60",632.53M
2021-07-29,"7,379.30","7,418.70","7,379.30","7,417.40",514.88M
2021-07-28,"7,431.40","7,432.40","7,368.30","7,379.30",585.95M
2021-07-27,"7,394.30","7,447.90","7,394.30","7,431.40",559.35M
2021-07-26,"7,394.40","7,417.60","7,389.30","7,394.30",548.09M
2021-07-23,"7,386.40","7,398.70","7,357.00","7,394.40",493.58M
