Date,Open,High,Low,Adj_Close
2021-06-07,"2,497.60","2,526.40","2,494.60","2,524.40"
2021-06-04,"2,489.70","2,500.50","2,487.80","2,499.80"
2021-06-03,"2,479.00","2,491.70","2,464.30","2,488.80"
2021-06-02,"2,479.90","2,484.80","2,469.20","2,480.70"
2021-06-01,"2,472.10","2,499.00","2,471.60","2,476.30"
2021-05-31,"2,460.90","2,471.60","2,458.70","2,461.80"
2021-05-28,"2,451.30","2,463.10","2,448.70","2,461.80"
2021-05-27,"2,417.10","2,455.00","2,416.80","2,449.10"
2021-05-26,"2,437.90","2,443.80","2,412.90","2,421.50"
2021-05-25,"2,438.60","2,444.70","2,432.50","2,434.40"
2021-05-24,"2,433.00","2,441.80","2,424.20","2,433.50"
2021-05-21,"2,402.90","2,423.20","2,397.30","2,422.70"
2021-05-20,"2,385.10","2,396.30","2,365.50","2,396.30"
2021-05-19,"2,387.00","2,402.40","2,352.30","2,375.30"
2021-05-18,"2,430.10","2,435.40","2,406.80","2,413.90"
2021-05-17,"2,411.50","2,417.80","2,396.80","2,411.00"
2021-05-14,"2,388.00","2,402.20","2,368.90","2,401.70"
2021-05-13,"2,342.80","2,382.60","2,316.10","2,373.10"
2021-05-12,"2,370.40","2,379.70","2,351.30","2,371.40"
2021-05-11,"2,385.60","2,387.20","2,352.60","2,366.00"
2021-05-10,"2,397.60","2,406.60","2,390.40","2,404.60"
2021-05-07,"2,388.00","2,389.00","2,367.40","2,386.80"
2021-05-06,"2,378.90","2,392.90","2,362.60","2,376.20"
2021-05-05,"2,343.20","2,372.30","2,336.20","2,371.40"
2021-05-04,"2,370.40","2,377.20","2,320.50","2,323.70"
2021-05-03,"2,343.70","2,372.30","2,341.10","2,367.40"
2021-04-30,"2,357.20","2,364.50","2,333.90","2,339.60"
2021-04-29,"2,377.20","2,379.70","2,340.60","2,352.60"
2021-04-28,"2,376.80","2,379.20","2,361.10","2,369.90"
2021-04-27,"2,372.80","2,378.70","2,359.60","2,372.10"
2021-04-26,"2,364.00","2,379.70","2,356.90","2,376.00"
2021-04-23,"2,358.20","2,364.80","2,347.90","2,364.00"
2021-04-22,"2,350.10","2,367.00","2,343.00","2,364.50"
2021-04-21,"2,346.90","2,352.30","2,317.60","2,340.80"
2021-04-20,"2,393.60","2,397.30","2,328.30","2,332.70"
2021-04-19,"2,397.80","2,404.60","2,389.40","2,392.40"
2021-04-16,"2,374.30","2,398.50","2,373.30","2,395.80"
2021-04-15,"2,380.20","2,384.60","2,367.90","2,374.80"
2021-04-14,"2,382.60","2,383.60","2,364.50","2,377.70"
