Date,Open,High,Low,Adj_Close,Volume
30-Sep-21,"58,022.33","58,339.34","57,863.40","57,863.40",181.91M
29-Sep-21,"57,462.19","58,022.33","57,373.41","58,022.33",147.44M
28-Sep-21,"57,784.27","57,925.48","57,241.44","57,462.19",175.29M
27-Sep-21,"57,642.54","58,282.73","57,642.54","57,784.27",176.76M
23-Sep-21,"56,938.31","57,691.43","56,933.00","57,642.54",138.36M
22-Sep-21,"56,085.63","57,163.24","56,085.63","56,938.31",111.72M
21-Sep-21,"55,246.07","56,399.56","55,246.07","56,085.63",116.06M
20-Sep-21,"56,605.25","56,605.25","54,682.22","55,246.07",155.81M
17-Sep-21,"57,098.19","57,403.67","56,605.25","56,605.25",356.91M
16-Sep-21,"58,229.94","58,229.94","56,947.91","57,098.19",0
15-Sep-21,"58,115.08","58,308.23","57,633.70","58,229.94",127.06M
14-Sep-21,"58,494.78","58,504.55","57,742.77","58,115.08",150.32M
13-Sep-21,"58,175.75","58,694.54","57,944.04","58,494.78",115.93M
10-Sep-21,"58,020.55","58,555.17","58,020.55","58,175.75",111.80M
09-Sep-21,"59,378.55","59,378.55","57,848.72","58,020.55",132.53M
08-Sep-21,"60,340.77","60,341.45","59,308.16","59,378.55",113.13M
07-Sep-21,"60,035.80","60,535.05","60,035.80","60,340.77",108.77M
06-Sep-21,"60,106.72","60,507.39","59,817.03","60,035.80",101.65M
03-Sep-21,"60,357.49","60,703.25","59,930.75","60,106.72",106.06M
02-Sep-21,"60,612.64","60,673.32","60,042.92","60,357.49",133.45M
01-Sep-21,"61,039.26","61,499.75","60,460.55","60,612.64",145.58M
31-Aug-21,"60,750.09","61,282.36","60,750.09","61,039.26",165.09M
30-Aug-21,"61,393.15","61,473.84","60,704.00","60,750.09",55.15M
27-Aug-21,"60,854.92","61,425.83","60,813.31","61,393.15",92.00M
26-Aug-21,"61,212.12","61,212.12","60,734.51","60,854.92",102.82M
25-Aug-21,"61,180.29","61,261.31","60,923.60","61,212.12",133.18M
24-Aug-21,"60,562.05","61,359.17","60,562.05","61,180.29",115.37M
23-Aug-21,"59,800.02","60,760.84","59,800.02","60,562.05",96.98M
20-Aug-21,"59,854.78","60,505.40","59,484.43","59,800.02",99.51M
19-Aug-21,"61,608.96","61,608.96","59,657.12","59,854.78",165.49M
