Date,Open,High,Low,Adj_Close,Vol.
02/09/2022,"12,240.40","12,245.35","12,168.84","12,205.47",142.07M
02/08/2022,"12,258.41","12,274.94","12,181.75","12,225.88",154.87M
02/07/2022,"12,224.49","12,258.12","12,194.88","12,249.19",173.94M
02/06/2022,"12,179.84","12,214.97","12,109.64","12,204.45",147.30M
02/03/2022,"12,178.04","12,219.24","12,142.38","12,142.38",135.17M
02/02/2022,"12,287.44","12,316.26","12,192.61","12,192.61",166.19M
02/01/2022,"12,310.14","12,348.66","12,246.28","12,293.38",189.84M
01/31/2022,"12,269.92","12,359.97","12,269.92","12,271.84",229.53M
01/30/2022,"12,218.81","12,274.80","12,218.18","12,259.25",197.41M
01/27/2022,"12,156.23","12,195.82","12,147.34","12,179.32",162.82M
01/26/2022,"12,119.35","12,222.39","12,093.53","12,182.51",134.01M
01/25/2022,"12,051.95","12,108.56","11,976.56","12,108.56",117.98M
01/24/2022,"12,127.11","12,174.81","12,031.45","12,068.43",109.81M
01/23/2022,"12,276.16","12,276.18","12,113.09","12,139.83",130.94M
01/20/2022,"12,274.27","12,291.05","12,218.30","12,290.96",150.86M
01/19/2022,"12,186.30","12,260.13","12,135.34","12,260.13",170.34M
01/18/2022,"12,174.52","12,260.34","12,166.10","12,193.75",209.76M
01/17/2022,"12,137.57","12,165.84","12,048.81","12,165.84",192.86M
01/16/2022,"12,107.24","12,209.54","12,045.49","12,110.15",229.04M
01/13/2022,"11,965.23","12,079.01","11,946.97","12,079.01",197.93M
01/12/2022,"11,845.46","11,957.08","11,819.39","11,957.08",193.83M
01/11/2022,"11,675.81","11,843.55","11,641.70","11,843.55",185.96M
01/10/2022,"11,577.00","11,664.83","11,576.23","11,664.83",204.54M
01/09/2022,"11,452.98","11,560.47","11,451.54","11,560.47",172.46M
01/06/2022,"11,427.73","11,468.52","11,371.71","11,430.51",142.59M
01/05/2022,"11,358.58","11,453.08","11,358.58","11,453.08",139.97M
01/04/2022,"11,351.62","11,380.51","11,317.46","11,356.80",134.43M
01/03/2022,"11,320.25","11,407.66","11,264.42","11,327.52",188.43M
01/02/2022,"11,280.35","11,345.86","11,257.02","11,331.91",129.75M
12/30/2021,"11,199.56","11,281.71","11,167.14","11,281.71",132.21M
12/29/2021,"11,312.10","11,343.72","11,144.98","11,199.84",224.48M
12/28/2021,"11,193.93","11,315.32","11,193.48","11,315.32",144.98M
12/27/2021,"11,156.28","11,175.85","11,086.96","11,161.04",138.68M
12/26/2021,"11,272.55","11,298.18","11,158.05","11,168.30",113.81M
12/23/2021,"11,215.58","11,286.67","11,198.62","11,271.46",128.64M
12/22/2021,"11,287.75","11,336.45","11,181.22","11,204.43",165.94M
12/21/2021,"11,175.15","11,261.28","11,170.57","11,261.28",142.76M
12/20/2021,"11,121.06","11,171.23","11,036.30","11,170.48",188.17M
12/19/2021,"11,241.41","11,267.37","11,150.93","11,160.24",176.44M
12/16/2021,"11,200.75","11,365.33","11,199.77","11,311.89",255.18M
12/15/2021,"11,027.02","11,149.93","11,012.06","11,143.38",187.55M
12/14/2021,"11,035.48","11,058.95","10,975.46","11,024.68",182.35M
12/13/2021,"11,030.37","11,096.91","11,019.86","11,019.86",232.27M
12/12/2021,"10,916.08","10,974.35","10,880.00","10,969.06",305.58M
12/09/2021,"11,007.53","11,049.19","10,892.58","10,938.88",174.79M
12/08/2021,"11,130.97","11,132.34","10,991.80","10,991.80",218.19M
12/07/2021,"11,125.08","11,149.13","11,081.64","11,108.20",208.86M
12/06/2021,"11,196.72","11,278.37","11,021.07","11,021.07",236.30M
12/05/2021,"10,926.06","11,142.47","10,925.08","11,142.47",189.52M
12/02/2021,"10,838.11","10,914.82","10,796.27","10,882.79",139.64M
12/01/2021,"10,809.19","10,866.98","10,753.02","10,849.96",184.74M
11/30/2021,"10,789.10","10,789.82","10,599.73","10,761.80",289.15M
11/29/2021,"10,870.62","10,986.56","10,779.79","10,810.60",189.95M
11/28/2021,"10,668.40","10,952.01","10,668.40","10,787.79",223.13M
11/25/2021,"11,368.18","11,472.35","11,299.45","11,299.45",140.07M
11/24/2021,"11,328.02","11,425.49","11,281.56","11,369.38",150.24M
11/23/2021,"11,127.25","11,302.18","11,036.61","11,256.52",184.89M
11/22/2021,"11,457.98","11,514.12","11,149.32","11,171.76",206.07M
11/21/2021,"11,640.63","11,641.56","11,417.58","11,485.94",161.49M
11/18/2021,"11,814.19","11,839.30","11,700.78","11,710.45",144.06M
11/17/2021,"11,805.93","11,850.57","11,778.88","11,833.54",143.33M
11/16/2021,"11,839.63","11,859.67","11,752.43","11,827.48",159.59M
11/15/2021,"11,903.08","11,920.15","11,836.58","11,836.58",170.20M
11/14/2021,"11,928.49","11,936.00","11,883.74","11,913.05",115.99M
11/11/2021,"11,855.57","11,914.13","11,841.94","11,898.94",131.89M
11/10/2021,"11,751.22","11,863.19","11,741.23","11,857.51",151.15M
11/09/2021,"11,856.67","11,872.28","11,753.18","11,753.18",181.47M
11/08/2021,"11,849.82","11,912.44","11,794.09","11,846.53",191.61M
11/07/2021,"11,785.15","11,843.27","11,755.86","11,841.60",140.86M
11/04/2021,"11,674.99","11,752.23","11,636.34","11,752.23",130.22M
11/03/2021,"11,750.75","11,758.64","11,627.38","11,685.66",156.97M
11/02/2021,"11,726.19","11,789.21","11,724.45","11,752.12",130.70M
11/01/2021,"11,708.62","11,759.74","11,695.97","11,722.95",129.59M
10/31/2021,"11,757.16","11,807.27","11,699.36","11,704.14",153.68M
10/28/2021,"11,745.50","11,783.00","11,671.08","11,758.82",185.91M
10/27/2021,"11,851.68","11,886.26","11,779.29","11,807.79",174.45M
10/26/2021,"11,890.40","11,922.07","11,846.69","11,846.69",156.85M
10/25/2021,"11,845.93","11,898.66","11,783.48","11,889.84",178.92M
10/24/2021,"11,950.65","11,954.88","11,832.90","11,848.05",221.43M
10/21/2021,"11,919.29","11,939.58","11,877.53","11,939.58",202.42M
10/20/2021,"11,822.56","11,903.74","11,810.26","11,903.74",189.75M
10/19/2021,"11,781.66","11,836.30","11,744.66","11,792.54",198.61M
10/18/2021,"11,759.13","11,774.78","11,707.94","11,758.02",193.49M
10/17/2021,"11,748.27","11,782.79","11,741.11","11,773.36",218.21M
10/14/2021,"11,641.39","11,699.11","11,636.99","11,699.11",194.66M
10/13/2021,"11,539.14","11,624.98","11,531.96","11,624.98",172.52M
10/12/2021,"11,559.14","11,568.89","11,485.92","11,542.88",213.59M
10/11/2021,"11,571.51","11,590.24","11,330.63","11,512.11",261.10M
10/10/2021,"11,602.39","11,675.48","11,502.08","11,566.02",205.60M
10/07/2021,"11,585.34","11,629.35","11,544.45","11,591.33",167.67M
10/06/2021,"11,577.36","11,654.98","11,538.45","11,571.88",219.52M
10/05/2021,"11,471.08","11,573.13","11,470.70","11,555.53",198.93M
10/04/2021,"11,448.40","11,514.99","11,421.53","11,466.91",198.02M
10/03/2021,"11,494.11","11,497.74","11,428.09","11,453.25",182.58M
09/30/2021,"11,388.12","11,495.76","11,379.61","11,495.76",181.90M
09/29/2021,"11,363.01","11,390.53","11,331.35","11,383.65",181.26M
09/28/2021,"11,383.72","11,444.20","11,355.83","11,382.41",263.19M
09/27/2021,"11,366.55","11,391.32","11,333.48","11,369.09",238.15M
09/26/2021,"11,342.94","11,370.83","11,323.12","11,352.86",169.40M
09/22/2021,"11,311.15","11,345.43","11,270.57","11,270.57",140.81M
09/21/2021,"11,284.49","11,354.53","11,239.29","11,315.81",176.89M
09/20/2021,"11,370.58","11,372.66","11,293.66","11,328.33",183.13M
09/19/2021,"11,424.20","11,434.98","11,371.22","11,397.84",184.05M
09/16/2021,"11,409.92","11,435.57","11,378.08","11,422.11",223.09M
09/15/2021,"11,382.46","11,414.58","11,358.61","11,410.98",176.40M
09/14/2021,"11,394.42","11,418.70","11,357.22","11,373.18",180.28M
09/13/2021,"11,343.27","11,386.38","11,294.72","11,386.38",182.78M
09/12/2021,"11,424.40","11,428.09","11,325.60","11,342.85",159.47M
09/09/2021,"11,446.05","11,450.78","11,397.65","11,417.79",181.57M
09/08/2021,"11,425.54","11,455.65","11,408.30","11,455.65",174.31M
09/07/2021,"11,416.58","11,458.68","11,402.92","11,414.34",192.92M
09/06/2021,"11,336.74","11,407.91","11,332.93","11,407.91",195.90M
09/05/2021,"11,324.38","11,346.87","11,315.71","11,335.92",192.65M
09/02/2021,"11,300.76","11,324.09","11,285.01","11,319.87",175.08M
09/01/2021,"11,315.66","11,327.88","11,292.74","11,310.54",166.58M
08/31/2021,"11,253.82","11,319.24","11,251.63","11,319.24",224.83M
08/30/2021,"11,195.48","11,255.05","11,169.83","11,255.05",153.93M
08/29/2021,"11,141.95","11,180.19","11,138.77","11,180.19",138.49M
08/26/2021,"11,169.27","11,169.54","11,104.03","11,128.59",118.04M
08/25/2021,"11,153.24","11,183.11","11,103.23","11,156.63",139.78M
08/24/2021,"11,092.11","11,141.03","11,057.57","11,141.03",133.77M
08/23/2021,"11,090.76","11,179.24","11,032.67","11,062.99",160.58M
08/22/2021,"11,191.11","11,213.56","11,049.05","11,076.55",150.36M
08/19/2021,"11,305.12","11,305.22","11,164.89","11,201.64",196.94M
08/18/2021,"11,391.31","11,402.65","11,308.31","11,344.94",143.80M
08/17/2021,"11,310.09","11,392.83","11,270.85","11,392.83",167.30M
08/16/2021,"11,341.49","11,384.89","11,312.08","11,321.85",171.47M
08/15/2021,"11,314.71","11,354.22","11,295.43","11,351.63",165.02M
08/12/2021,"11,326.86","11,391.58","11,270.50","11,323.70",220.67M
08/11/2021,"11,299.41","11,348.66","11,292.19","11,325.10",206.42M
08/10/2021,"11,200.80","11,299.87","11,198.33","11,299.87",189.87M
08/09/2021,"11,215.37","11,225.30","11,174.61","11,197.97",225.56M
08/08/2021,"11,202.59","11,235.41","11,191.77","11,215.33",205.47M
08/05/2021,"11,155.34","11,209.42","11,066.77","11,209.42",213.78M
08/04/2021,"11,206.21","11,210.54","11,128.71","11,162.38",207.79M
08/03/2021,"11,151.66","11,208.76","11,123.50","11,208.76",247.57M
08/02/2021,"11,091.66","11,157.02","11,091.66","11,157.02",265.06M
08/01/2021,"11,041.85","11,100.03","11,033.71","11,066.93",252.17M
07/29/2021,"10,939.51","11,012.71","10,921.11","11,012.71",208.60M
07/28/2021,"10,911.05","10,948.81","10,905.02","10,933.73",205.67M
07/27/2021,"10,899.75","10,927.70","10,887.34","10,916.67",223.38M
07/26/2021,"10,920.55","10,923.11","10,841.99","10,897.87",223.77M
07/25/2021,"10,867.22","10,955.97","10,867.22","10,876.36",216.68M
07/15/2021,"10,792.03","10,873.82","10,782.74","10,794.51",236.23M
07/14/2021,"10,734.27","10,802.04","10,721.09","10,778.07",199.00M
07/13/2021,"10,707.60","10,767.84","10,690.68","10,735.85",192.04M
07/12/2021,"10,670.05","10,766.35","10,589.38","10,698.54",245.17M
07/11/2021,"10,871.24","10,883.32","10,659.12","10,688.34",248.87M
07/08/2021,"10,946.67","10,946.78","10,814.90","10,825.01",304.56M
07/07/2021,"10,953.35","10,967.35","10,904.90","10,958.55",277.04M
07/06/2021,"11,002.77","11,020.99","10,971.21","10,971.21",285.68M
07/05/2021,"11,031.33","11,043.25","10,955.75","11,001.03",381.63M
07/04/2021,"10,993.75","11,063.86","10,993.59","11,031.73",364.68M
07/01/2021,"10,987.13","11,006.66","10,968.11","10,979.05",352.20M
06/30/2021,"11,002.74","11,009.70","10,940.44","10,984.15",374.66M
06/29/2021,"10,963.93","10,996.38","10,934.73","10,996.38",366.37M
06/28/2021,"10,981.20","10,985.79","10,939.69","10,957.07",373.94M
06/27/2021,"10,926.64","10,990.14","10,925.30","10,966.71",429.81M
06/24/2021,"10,913.06","10,932.73","10,895.66","10,919.68",390.34M
06/23/2021,"10,922.57","10,935.89","10,881.28","10,894.20",474.87M
06/22/2021,"10,874.08","10,916.90","10,873.95","10,891.64",345.73M
06/21/2021,"10,777.96","10,872.90","10,745.92","10,859.18",328.09M
06/20/2021,"10,858.15","10,863.73","10,770.63","10,790.75",342.02M
06/17/2021,"10,862.49","10,894.61","10,847.31","10,853.12",419.03M
06/16/2021,"10,848.73","10,870.13","10,811.08","10,855.95",264.27M
06/15/2021,"10,918.19","10,932.82","10,816.73","10,831.38",370.35M
06/14/2021,"10,908.89","10,989.61","10,844.63","10,913.56",426.15M
06/13/2021,"10,825.72","10,903.42","10,816.87","10,897.47",382.23M
06/10/2021,"10,796.99","10,839.24","10,780.47","10,796.33",387.08M
06/09/2021,"10,749.78","10,790.24","10,746.95","10,790.24",431.16M
06/08/2021,"10,719.30","10,753.71","10,599.15","10,735.39",512.09M
06/07/2021,"10,689.92","10,719.85","10,681.94","10,719.85",418.63M
06/06/2021,"10,705.47","10,743.26","10,676.95","10,685.45",441.91M
06/03/2021,"10,657.78","10,700.84","10,648.23","10,698.30",412.52M
06/02/2021,"10,617.28","10,680.20","10,610.29","10,656.81",267.44M
06/01/2021,"10,560.85","10,644.34","10,552.67","10,597.42",499.94M
