,location,Cases,deaths,new_vaccinations,hosp_patients,median_age,extreme_poverty,male_smokers,female_smokers,total_smokers,diabetes_prevalence,population,population_density,life_expectancy
77,Libya,535.4107708553327,6.8729989327641405,8360.625,0.0,29.0,0.0,0.0,0.0,0.0,10.430000000000144,6735277.0,3.6230000000000393,72.9100000000018
78,World,621755.3349851338,6487.223984142715,18688241.309593022,0.0,30.900000000000553,10.0,34.634999999999465,6.434000000000128,20.534499999999795,8.510000000000165,7909295152.0,58.044999999998765,72.58000000000135
79,Kazakhstan,1616.0983263598325,20.501590668080595,68336.92307692308,0.0,30.5999999999995,0.09999999999999878,43.09999999999923,7.0,25.049999999999613,7.109999999999895,19196465.0,6.680999999999873,73.59999999999945
80,Azerbaijan,849.421052631579,10.376826722338205,28814.698924731183,0.0,32.40000000000056,0.0,42.5,0.30000000000000543,21.400000000000002,7.109999999999892,10312992.0,119.30899999999775,73.0
81,Bhutan,64.59170984455959,0.0319634703196347,12676.95588235294,0.0,28.599999999999557,1.5,0.0,0.0,0.0,9.75,777486.0,21.187999999999736,71.77999999999918
82,Iran,7703.388379204893,147.35881753312947,248053.2891566265,0.0,32.400000000000574,0.19999999999999735,21.0999999999999,0.7999999999999894,10.949999999999944,9.590000000000105,87923432.0,49.830999999998916,76.67999999999934
83,Oman,409.0,4.536741214057508,1668.7435897435898,0.0,30.700000000000493,0.0,15.600000000000248,0.5,8.050000000000125,12.610000000000099,4520471.0,14.97999999999969,77.8600000000005
84,Guyana,74.57828810020877,1.3357664233576643,4290.058823529412,0.0,26.299999999999553,0.0,0.0,0.0,0.0,11.620000000000141,804567.0,3.9520000000001025,69.91000000000172
85,Bahamas,39.21593291404612,0.8871139510117146,3086.0,0.0,34.299999999999486,0.0,20.400000000000016,3.0999999999999464,11.749999999999982,13.170000000000066,407906.0,39.49700000000003,73.91999999999868
86,Bolivia,1155.5302083333333,23.60828025477707,24729.348047538202,703.7576335877862,25.400000000000304,7.100000000000107,0.0,0.0,0.0,6.890000000000099,12079472.0,10.202000000000028,71.5100000000004
87,Tunisia,1188.3160621761658,30.768664563617246,31304.879120879123,0.0,32.70000000000051,2.0,65.80000000000115,1.100000000000012,33.45000000000058,8.520000000000211,12262946.0,74.22800000000123,76.69999999999861
88,Antigua and Barbuda,9.527196652719665,0.1564844587352626,841.2,0.0,32.099999999999454,0.0,0.0,0.0,0.0,13.170000000000066,93220.0,231.84500000000105,77.0199999999992
89,Cuba,1158.7872784150156,8.961134453781513,81578.63595505618,0.0,43.09999999999923,0.0,53.300000000000715,17.100000000000257,35.200000000000486,8.270000000000202,11256372.0,110.40799999999923,78.80000000000142
90,Saint Vincent and the Grenadines,11.507322175732218,0.17846153846153845,504.27272727272725,0.0,31.799999999999503,0.0,0.0,0.0,0.0,11.620000000000141,104332.0,281.7870000000045,72.52999999999919
91,Belarus,1022.6718106995885,7.572340425531915,0.0,0.0,40.30000000000005,0.0,46.09999999999917,10.5,28.299999999999585,5.179999999999996,9578168.0,46.85800000000016,74.79000000000005
92,Cape Verde,65.61198738170347,0.43446088794926,3731.0,0.0,25.70000000000044,0.0,16.5,2.0999999999999637,9.299999999999981,2.420000000000032,587925.0,135.58000000000152,72.9800000000011
93,Paraguay,749.089770354906,20.60778128286015,21670.450261780104,0.0,26.5,1.7000000000000288,21.59999999999989,5.0,13.299999999999946,8.270000000000204,6703799.0,17.144000000000148,74.25
94,United Arab Emirates,1033.9790419161677,2.4689800210304944,60840.0664652568,0.0,34.0,0.0,37.40000000000071,1.2000000000000226,19.300000000000367,17.260000000000094,9365144.0,112.4419999999987,77.97000000000087
95,Vietnam,10874.684890656064,52.831089351285186,426162.4285714286,0.0,32.5999999999994,2.0,45.90000000000085,1.0,23.450000000000426,6.0,97468028.0,308.1269999999985,75.40000000000008
96,Canada,4343.505964214712,48.76538060479666,135871.65680473374,2858.0397849462365,41.40000000000079,0.5,16.600000000000218,12.0,14.300000000000109,7.369999999999907,38155012.0,4.036999999999916,82.42999999999873
97,Albania,345.9948024948025,3.7427083333333333,8242.389534883721,0.0,38.0,1.1000000000000112,51.199999999999335,7.100000000000111,29.14999999999972,10.079999999999938,2854710.0,104.87099999999926,78.57000000000077
